Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
2d68ad16-268a-478c-1f84-d0f1976e1a46,2019-12-25,,999-71-2318,,,,Mauro926,Isaias604,Braun514,,,,white,nonhispanic,M,Danvers  Massachusetts  US,686 Hilpert Annex,Quincy,Massachusetts,Norfolk County,25021,02186,42.25937201985332,-71.01258393031146,11394.17,0.00,103247
76b20010-c318-5754-8c85-983aa538522f,2018-01-19,,999-62-9324,,,,Jody426,Jeffrey461,Hickle134,,,,white,nonhispanic,M,Charlton  Massachusetts  US,368 Marquardt Highlands,Newburyport,Massachusetts,Essex County,25009,01950,42.81308052119067,-70.83892862887681,12700.63,9142.72,878354
aee7bbe1-0c45-c028-1e62-1f4cdb30c273,2010-10-26,,999-21-5544,,,,Wilfredo622,Isaiah615,Fritsch593,,,,white,nonhispanic,M,New Bedford  Massachusetts  US,265 Schamberger Rapid Unit 70,Whitman,Massachusetts,Plymouth County,,00000,42.095113614046355,-70.96780531615718,36961.44,314.29,102779
5e688e99-61b3-5c88-3f60-21df8aaced27,2009-11-30,,999-87-5260,S99933561,,,Wallace647,Raymond398,Effertz744,,,,native,nonhispanic,M,Southwick  Massachusetts  US,788 Hansen Skyway,Revere,Massachusetts,Suffolk County,25025,02151,42.42585246178816,-70.94822090106521,2671.02,57629.98,22038
4f083ce3-f12b-bb4b-7353-e17f0cd55b0a,1998-11-15,,999-78-6352,S99956685,X40961508X,Mr.,Ezekiel373,Leslie90,Walter473,,,,white,nonhispanic,M,Onset  Massachusetts  US,332 Schulist Underpass,Watertown,Massachusetts,Middlesex County,25017,02472,42.32131597857709,-71.14289090408015,71753.52,2851.45,141031
46976cf7-b0bf-be20-39a5-9f425a52886d,2007-07-17,,999-37-5783,S99931499,,Ms.,Lindsay928,Deja232,Zieme486,,,,white,nonhispanic,F,Toulouse  Occitanie  FR,794 Dicki Neck Unit 4,Worcester,Massachusetts,Worcester County,25027,01607,42.29589656519802,-71.86071035579968,56128.69,106993.14,95959
c053e996-a4c4-6c02-e2b6-284227156c67,2023-07-18,,999-10-8066,,,,Sharyn437,Anette189,Hagenes547,,,,black,hispanic,F,Windsor  Massachusetts  US,663 Blick Plaza,Milford,Massachusetts,Worcester County,25027,01757,42.17459827182851,-71.55903801727968,7868.99,710.83,51905
eb5910f1-26e6-bc6f-b300-716eae678d6f,1995-02-26,,999-20-9963,S99920788,X70390144X,Mrs.,Larissa293,Jackeline690,Mayer370,,Bins636,M,white,nonhispanic,F,Revere  Massachusetts  US,861 Swift Lock,Haverhill,Massachusetts,Essex County,25009,01832,42.84610565164186,-71.046128370516,149885.59,218856.25,47596
46ee9d82-b52c-856d-069b-5064ff052225,1996-04-21,,999-44-2741,S99973631,X20333362X,Mrs.,Shalanda398,Kelsie51,Jenkins714,,Terry864,M,white,nonhispanic,F,Marlborough  Massachusetts  US,925 Brown Annex,Lowell,Massachusetts,Middlesex County,25017,01854,42.62405815858057,-71.29962328132608,133654.01,24458.51,124612
d3727ff2-5d7b-347f-d78c-edc4323cf890,2009-04-21,,999-94-4285,S99939213,,,Eunice461,Diann220,Fay398,,,,black,nonhispanic,F,Weymouth  Massachusetts  US,777 Bosco Union Suite 34,Boston,Massachusetts,Suffolk County,25025,02108,42.29039304794446,-71.16480709371824,66799.88,27328.15,56736
